ligne_xlsx;classe;alliance;alliance_brut;auteurs;cd_hab;typologie;code_habref;nom_habref;ancre_cd_hab;ancre_typologie;ancre_code;corine_cd_hab;corine_code;corine_nom;corine_autres;eunis_cd_hab;eunis_code;eunis_nom;eunis_autres;hic_cd_hab;hic_code;hic_nom;cahiers_cd_hab;cahiers_code;cahiers_nom;condition_n2000
119;Galio aparines-Urticetea dioicae;Impatienti noli-tangere-Stachyion sylvaticae;Impatienti noli-tangere-Stachyion sylvaticae;Görs ex Mucina in Mucina, Grabherr & Ellmauer 1993;16568;PVF1;29.0.2.0.1;Impatienti noli-tangere-Stachyion sylvaticae;;;;4271;37.72;Franges des bords boisés ombragés;;5234;E5.43;Lisières forestières ombragées;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
120;Galio aparines-Urticetea dioicae;Violo rivinianae – Stellarion holosteae;Violo rivinianae – Stellarion holosteae;H. Passarge 1997;;;;;4271;CORINE_biotopes;37.72;4271;37.72;Franges des bords boisés ombragés;;5234;E5.43;Lisières forestières ombragées;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
122;Filipendulo ulmariae-Convolvuletea sepium;Convolvulion sepium;Convolvulion sepium;Tüxen in Oberdorfer 1957;16560;PVF1;28.0.1.0.1;Convolvulion sepium;;;;4321;37.71;Voiles des cours d'eau;;5258;E5.41;Écrans ou rideaux rivulaires de grandes herbacées vivaces;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
123;Filipendulo ulmariae-Convolvuletea sepium;Achilleo ptarmicae – Cirsion palustris;Achilleo ptarmicae – Cirsion palustris;Julve & Gillet ex B. Foucault 2011;16774;PVF2;;Achilleo ptarmicae - Cirsion palustris;;;;1268;37.1;Communautés à Reine des prés et communautés associées;;11323;E5.412;Mégaphorbiaies occidentales némorales rivulaires dominées par Filipendula;E5.421;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
124;Filipendulo ulmariae-Convolvuletea sepium;Dorycnio recti – Rumicion conglomerati;Dorycnio recti – Rumicion conglomerati;;16778;PVF2;;Dorycnio recti - Rumicion conglomerati;;;;496;37;Prairies humides et mégaphorbiaies;;1728;E5.4;Lisières et prairies humides ou mouilleuses à grandes herbacées et à fougères;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
125;Filipendulo ulmariae-Convolvuletea sepium;Thalictro flavi – Filipendulion ulmariae;Thalictro flavi – Filipendulion ulmariae;B. Foucault in Royer et al. 2006;16564;PVF1;28.0.3.0.1;Thalictro flavi-Filipendulion ulmariae;;;;1268;37.1;Communautés à Reine des prés et communautés associées;;11323;E5.412;Mégaphorbiaies occidentales némorales rivulaires dominées par Filipendula;E5.421;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
126;Filipendulo ulmariae-Convolvuletea sepium;Filipendulo ulmariae – Chaerophyllion hirsuti;Filipendulo ulmariae – Chaerophyllion hirsuti;B. Foucault 2011;16776;PVF2;;Filipendulo ulmariae - Chaerophyllion hirsuti;;;;496;37;Prairies humides et mégaphorbiaies;;1719;E3.4;Prairies eutrophes et mésotrophes humides ou mouilleuses;E5.4;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
128;Melampyro pratensis-Holcetea mollis;Potentillo erectae-Holcion mollis;Potentillo erectae-Holcion mollis;;16622;PVF1;41.0.1.0.1;Potentillo erectae-Holcion mollis;;;;;;;;1728;E5.4;Lisières et prairies humides ou mouilleuses à grandes herbacées et à fougères;;;;;;;;
129;Melampyro pratensis-Holcetea mollis;Holco mollis-Pteridion aquilini;Holco mollis-Pteridion aquilini;;16623;PVF1;41.0.1.0.2;Holco mollis-Pteridion aquilini;;;;4028;31.86;Landes à Fougères;;1727;E5.3;Formations à Pteridium aquilinum;;;;;;;;
130;Melampyro pratensis-Holcetea mollis;Conopodio majoris-Teucrion scorodoniae;Conopodio majoris-Teucrion scorodoniae;;16625;PVF1;41.0.1.0.4;Conopodio majoris-Teucrion scorodoniae;;;;1283;34.4;Lisières (ou ourlets) forestières thermophiles;;1721;E5.2;Ourlets forestiers thermophiles;;;;;;;;
131;Melampyro pratensis-Holcetea mollis;Melampyro sylvatici-Poion chaixii;Melampyro sylvatici-Poion chaixii;;16626;PVF1;41.0.1.0.5;Melampyro sylvatici-Poion chaixii;;;;;;;;5230;E5.22;Ourlets mésophiles;;;;;;;;
132;Melampyro pratensis-Holcetea mollis;Pteridio aquilini – Blechnion spicantis;Pteridio aquilini – Blechnion spicantis;;;;;;1728;EUNIS;E5.4;;;;;1728;E5.4;Lisières et prairies humides ou mouilleuses à grandes herbacées et à fougères;;;;;;;;
134;Mulgedio alpini-Aconitetea variegati;Calamagrostion arundinaceae;Calamagrostion arundinaceae;;16641;PVF1;44.0.1.0.1;Calamagrostion arundinaceae;;;;4278;37.82;Prairies subalpines à Calamagrostis arundinacea;;11335;E5.523;Communautés à grandes graminées alpiennes sur des pentes sèches et chaudes à grandes herbacées;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
135;Mulgedio alpini-Aconitetea variegati;Adenostylion pyrenaicae;Adenostylion pyrenaicae;Rivas-Mart., T.E. Díaz, F. Prieto, Loidi & Penas 1984;16706;PVF2;;Adenostylion pyrenaicae;;;;4279;37.83;Mégaphorbiaies pyrénéo-ibériques;;5238;E5.53;Communautés à grandes herbacées pyrénéo-ibériques;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
136;Mulgedio alpini-Aconitetea variegati;Adenostylion alliariae;Adenostylion alliariae;;16643;PVF1;44.0.2.0.1;Adenostylion alliariae;;;;4277;37.81;Mégaphorbiaies des montagnes hercyniennes, du Jura et des Alpes;;5238;E5.53;Communautés à grandes herbacées pyrénéo-ibériques;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;
138;Trifolio medii-Geranietea sanguinei;Geranion sanguinei;Geranion sanguinei;;16335;PVF1;72.0.1.0.1;Geranion sanguinei;;;;4305;34.41;Lisières xéro-thermophiles;;5229;E5.21;Ourlets xérothermophiles;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;pp ?
139;Trifolio medii-Geranietea sanguinei;Trifolion medii;Trifolion medii;;16336;PVF1;72.0.1.0.2;Trifolion medii;;;;4306;34.42;Lisières mésophiles;;5230;E5.22;Ourlets mésophiles;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;pp ?
140;Trifolio medii-Geranietea sanguinei;Knaution dipsacifoliae;Knaution dipsacifoliae;;;;;;4306;CORINE_biotopes;34.42;4306;34.42;Lisières mésophiles;;5230;E5.22;Ourlets mésophiles;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;pp ?
142;Caricetea curvulae;Festucion supinae;Festucion supinae;;16682;PVF1;15.0.1.0.4;Festucion supinae;;;;9899;36.341;Pelouses à Carex curvula;36.344;17873;E4.3412;Pelouses pyrénéennes à Carex curvula;E4.344;;;;;;;
144;Elyno myosuroidis-Seslerietea caeruleae;Festucion scopariae;Festucion scopariae;;16554;PVF1;26.0.3.0.7;Festucion scopariae;;;;9970;36.434;Pelouses pyrénéennes à Festuca gautieri;;11418;E4.434;Pelouses pyrénéennes à Festuca gautieri;;2869;6170;Pelouses calcaires alpines et subalpines;;;;
145;Elyno myosuroidis-Seslerietea caeruleae;Gentiano acaulis-Primulion intricatae;Gentiano acaulis-Primulion intricatae;;;;;;495;CORINE_biotopes;36;495;36;Pelouses alpines et subalpines;;601;E4;Pelouses alpines et subalpines;;2869;6170;Pelouses calcaires alpines et subalpines;;;;
146;Elyno myosuroidis-Seslerietea caeruleae;Salicion pyrenaicae;Salicion pyrenaicae;;;;;;17180;CORINE_biotopes;36.4112;17180;36.4112;Pelouses pyrénéennes à laîche sempervirente;;17840;E4.4112;Pelouses pyrénéennes à Laîche sempervirente;;2869;6170;Pelouses calcaires alpines et subalpines;;;;
147;Elyno myosuroidis-Seslerietea caeruleae;Primulion intricatae;Primulion intricatae;;16558;PVF1;27.0.1.0.4;Primulion intricatae;;;;4287;36.41;Pelouses à laîche ferrugineuse et communautés apparentées;36.4142;5236;E4.41;Pelouses alpines calciphiles fermées;E4.414;2869;6170;Pelouses calcaires alpines et subalpines;;;;
148;Elyno myosuroidis-Seslerietea caeruleae;Oxytropido-Elynion myosuroidis;Oxytropido-Elynion myosuroidis;;16479;PVF1;17.0.1.0.1;Oxytropido-Elynion myosuroidis;;;;9955;36.422;Pelouses pyrénéennes à Elyna;;11371;E4.422;Gazons pyrénéens à Élyna queue-de-souris;;2869;6170;Pelouses calcaires alpines et subalpines;;;;
150;Salicetea herbaceae;Arabidion caeruleae;Arabidion caeruleae;;16425;PVF1;61.0.1.0.1;Arabidion caeruleae;;;;4318;36.12;Communautés de combes à neige sur substrats calcaires;;11586;F2.121;Communautés boréo-alpiennes calcicoles des névés à Saules en espalier;;;;;;;;
151;Salicetea herbaceae;Salicion herbaceae;Salicion herbaceae;;16426;PVF1;61.0.2.0.1;Salicion herbaceae;;;;4313;36.11;Communautés des combes à neige acidiphiles;;5342;F2.11;Fourrés des combes à neige acidoclines boréo-alpines à Salix herbacea;;;;;;;;
153;Loiseleurio procumbentis-Vaccinietea microphylli;Arctostaphylo-Cetrarion nivalis;Arctostaphylo-Cetrarion nivalis;;16611;PVF1;39.0.1.0.1;Arctostaphylo-Cetrarion nivalis;;;;4009;31.47;Landes à Arctostaphylos uva-ursi;;5347;F2.27;Landes alpidiques à Arctostaphylos uva-ursi et Arctostaphylos alpinus;;2696;4060;Landes alpines et boréales;;;;
154;Loiseleurio procumbentis-Vaccinietea microphylli;Loiseleurio procumbentis-Vaccinion microphylli;Loiseleurio procumbentis-Vaccinion microphylli;;16612;PVF1;39.0.1.0.2;Loiseleurio procumbentis-Vaccinion microphylli;;;;4003;31.41;Landes naines à Azalée et à Vaccinium;;5362;F2.21;Landes alpidiques venteuses à éricoïdes naines;;2696;4060;Landes alpines et boréales;;;;
155;Loiseleurio procumbentis-Vaccinietea microphylli;Rhododendro ferruginei-Vaccinion myrtilli;Rhododendro ferruginei-Vaccinion myrtilli;;16613;PVF1;39.0.1.0.3;Rhododendro ferruginei-Vaccinion myrtilli;;;;4004;31.42;Landes à Rhododendron;;11436;F2.222;Landes à Rhododendron ferrugineux pyrénéennes;;2696;4060;Landes alpines et boréales;;;;
156;Loiseleurio procumbentis-Vaccinietea microphylli;Juniperion nanae;Juniperion nanae;;16614;PVF1;39.0.1.0.4;Juniperion nanae;;;;4005;31.43;Fourrés à Genévriers nains;;11556;F2.231;Fourrés montagnards à Juniperus nana;;2696;4060;Landes alpines et boréales;;;;
157;Loiseleurio procumbentis-Vaccinietea microphylli;Ericion carneae;Ericion carneae;;16615;PVF1;39.0.1.0.5;Ericion carneae;;;;1222;31.4;Landes alpines et boréales;;608;F2;Fourrés arctiques, alpins et subalpins;;2696;4060;Landes alpines et boréales;;;;
159;Helianthemetea guttati;Thero – Airion;Thero – Airion;Tüxen ex Oberdorfer 1957;16583;PVF1;32.0.1.0.3;Thero-Airion;;;;4294;35.21;Prairies siliceuses à annuelles naines;;5112;E1.91;Pelouses siliceuses d'espèces annuelles naines;;;;;;;;
160;Stipo capensis-Trachynietea distachyae;Trachynion distachyae;Trachynion distachyae;Rivas-Martínez ex Rivas-Martínez, Fern.-Gonz. & Loidi 1999;16468;PVF1;69.0.1.0.1;Trachynion distachyae;;;;17190;34.5131;Communautés annuelles calciphiles de l'ouest méditerranéen;;11120;E1.313;Communautés méditerranéennes annuelles des sols superficiels;;2802;6220;Parcours substeppiques de graminées et annuelles des Thero-Brachypodietea;;;;
